Label	Mean Accuracy	AUC	ZStatistic	Number_Of_Positives	Number_Of_Negatives	Total
QUESTION	0.0	0.375452217208	-3.06306162892	190	1283	1473
AGREE_CANDIDATE	0.0	0.103140782828	-9.54200034565	128	1345	1473
AGREEMENT	0.0	0.394817742644	-2.45172000696	89	1384	1473
EXPLANATION_CONTRIBUTION	0.0	0.105271464646	-9.49755638972	64	1409	1473
POSITIVITY	0.0	0.308108558109	-4.98495572741	54	1419	1473
GIVING_OPINION	0.0	0.223356643357	-6.77714547038	101	1372	1473
PREDICTION_CONTRIBUTION	0.0	0.420875420875	-inf	15	1458	1473
HELP_REQUEST	0.0	0.383895775941	-3.16706251592	45	1428	1473
REVOICABLE	0.0	0.114494301994	-10.5444899696	50	1423	1473
DISAGREEMENT	0.0	0.364015151515	-5.23471699753	17	1456	1473
CHALLENGE_CONTRIBUTION	0.0	0.887836700337	inf	15	1458	1473
EXPLANATION_REQUEST	0.0	0.592171717172	inf	5	1468	1473
