Label	Mean Accuracy	AUC	ZStatistic	Number_Of_Positives	Number_Of_Negatives	Total
QUESTION	0.0	0.397425048356	-2.50018783055	190	1283	1473
AGREE_CANDIDATE	0.0	0.108743686869	-9.50855451509	128	1345	1473
AGREEMENT	0.0	0.41839342037	-1.88210370469	89	1384	1473
EXPLANATION_CONTRIBUTION	0.0	0.11158459596	-9.32114542928	64	1409	1473
POSITIVITY	0.0	0.311605061605	-5.32509126772	54	1419	1473
GIVING_OPINION	0.0	0.23108003108	-6.62206685395	101	1372	1473
PREDICTION_CONTRIBUTION	0.0	0.424663299663	-inf	15	1458	1473
HELP_REQUEST	0.0	0.382078359351	-3.36862376591	45	1428	1473
REVOICABLE	0.0	0.116485366485	-10.5905817165	50	1423	1473
DISAGREEMENT	0.0	0.381439393939	-4.28267541702	17	1456	1473
CHALLENGE_CONTRIBUTION	0.0	0.5	-inf	15	1458	1473
EXPLANATION_REQUEST	0.0	0.5	-inf	5	1468	1473
