Label	Mean Accuracy	AUC	ZStatistic	Number_Of_Positives	Number_Of_Negatives	Total
QUESTION	0.0	0.75	320.0	47.5	190	1283	1473
AGREE_CANDIDATE	0.0	5.0	331.25	32.0	128	1345	1473
AGREEMENT	0.25	3.5	342.5	22.0	89	1384	1473
EXPLANATION_CONTRIBUTION	0.0	6.0	346.25	16.0	64	1409	1473
POSITIVITY	0.25	16.5	338.25	13.25	54	1419	1473
GIVING_OPINION	0.0	1.5	341.5	25.25	101	1372	1473
PREDICTION_CONTRIBUTION	3.5	342.5	22.0	0.25	15	1458	1473
HELP_REQUEST	0.25	46.75	310.25	11.0	45	1428	1473
REVOICABLE	0.0	15.75	340.0	12.5	50	1423	1473
DISAGREEMENT	4.0	303.5	60.5	0.25	17	1456	1473
CHALLENGE_CONTRIBUTION	3.5	358.25	6.25	0.25	15	1458	1473
EXPLANATION_REQUEST	1.25	364.5	2.5	0.0	5	1468	1473
73
