Label	Mean Accuracy	AUC	Number_Of_Positives	Number_Of_Negatives	Total
QUESTION	0.86354682161	0.58634886095	190	1283	1473
AGREE_CANDIDATE	0.731904309532	0.713226010101	128	1345	1473
AGREEMENT	0.939580387652	0.566824370184	89	1384	1473
EXPLANATION_CONTRIBUTION	0.801796129374	0.66966540404	64	1409	1473
POSITIVITY	0.963340992106	0.574023199023	54	1419	1473
GIVING_OPINION	0.931433736892	0.576491841492	101	1372	1473
PREDICTION_CONTRIBUTION	0.989817146813	0.556607744108	15	1458	1473
HELP_REQUEST	0.969451440438	0.578569788797	45	1428	1473
REVOICABLE	0.94160002062	0.678289303289	50	1423	1473
DISAGREEMENT	0.988460292212	0.663762626263	17	1456	1473
CHALLENGE_CONTRIBUTION	0.989817146813	0.660774410774	15	1458	1473
EXPLANATION_REQUEST	0.977596250147	0.30303030303	5	1468	1473
3

