Label	Mean Accuracy	AUC	ZStatistic	Number_Of_Positives	Number_Of_Negatives	Total
QUESTION	0.853349240014	0.530064608855	0.791607938668	190	1283	1473
AGREE_CANDIDATE	0.718970926122	0.710148358586	5.03379099785	128	1345	1473
AGREEMENT	0.939580387652	0.563615403042	1.55878621675	89	1384	1473
EXPLANATION_CONTRIBUTION	0.778026319665	0.67077020202	4.18792260474	64	1409	1473
POSITIVITY	0.963340992106	0.568362193362	1.71397183444	54	1419	1473
GIVING_OPINION	0.931433736892	0.581825951826	1.96015870705	101	1372	1473
PREDICTION_CONTRIBUTION	0.989817146813	0.500420875421	inf	15	1458	1473
HELP_REQUEST	0.969451440438	0.585533363942	2.3540677705	45	1428	1473
REVOICABLE	0.930056630729	0.663671976172	4.48386443098	50	1423	1473
DISAGREEMENT	0.97487333569	0.628661616162	4.23880197718	17	1456	1473
CHALLENGE_CONTRIBUTION	0.989817146813	0.613846801347	inf	15	1458	1473
EXPLANATION_REQUEST	0.991177683516	0.371212121212	-inf	5	1468	1473
ATION_REQUEST	0.985058029928	0.417929292929	-2.34531156981e+13	5	1468	1473
